Code Map,,,,,,,,,,,
Module,Class,Function,Classes Instantiated In This Module,Injection Path,,,,Module Purpose,,,
main.py,Window,__init__(),,,,,,initialization,,,
,,,VideoCanvas,_menubar,.file_menu,.add_images(),.video_canvas.show_next_frame(),display image,,,
,,,ImageSizeSet,"preview_mim_frame
",.file_treeview.preview(),,,Displays and updates the size-on-disk of the image selected in the treeview.,,,
,,,,._menubar,.file_menu,.add_images(),.image_size_set.update(),,,,
,,,Menubar,,,,,,,,
,,,PhotoImage,,,,,titlebar icon,,,
,,save_window_position(),,,,,,Saves the window position to a configuration file,,,
,,load_window_position(),,,,,,Loads the window position from a configuration file,,,
,,on_close(),,,,,,Cleans up before allowing the window to close,,,
mainframe.py,MainFrame,__init__(),,,,,,,,,
menu.py,Menubar,__init__(),,,,,,,,,
pvw_mim_frame.py,PreviewMiMFrame,__init__(),,,,,,,,,
,,build_new_image_list(),,,,,,Builds and rebuilds the list of loaded images in the treeview,,,
